App;User Group;1;2;3;4;5;6;7;8
l10n_ec_website_sale;base.group_user;45;45;45;45;45;45;45;45
l10n_ee;base.group_user;171;171;171;171;171;171;171;171
l10n_eg;base.group_user;141;141;141;141;141;141;141;141
l10n_eg_edi_eta;base.group_user;0;0;0;0;0;0;0;0
l10n_es;base.group_user;6,6;6,6;6,6;6,6;6,6;6,6;6,6;6,6
l10n_es_edi_facturae;base.group_user;357;357;357;357;357;357;357;357
l10n_es_edi_facturae_adm_centers;base.group_user;0;0;0;0;0;0;0;0
l10n_es_edi_facturae_invoice_period;base.group_user;0;0;0;0;0;0;0;0
l10n_es_edi_sii;base.group_user;192,3;192,3;192,3;192,3;192,3;192,3;192,3;192,3
l10n_es_edi_tbai;base.group_user;33,3;33,3;33,3;33,3;33,3;33,3;33,3;33,3
l10n_es_edi_tbai_multi_refund;base.group_user;0;0;0;0;0;0;0;0
l10n_es_edi_tbai_pos;base.group_user;60;60;60;60;60;60;60;60
l10n_es_modelo130;base.group_user;30;30;30;30;30;30;30;30
l10n_es_pos;base.group_user;45;45;45;45;45;45;45;45
l10n_es_pos_tbai;base.group_user;0;0;0;0;0;0;0;0
l10n_et;base.group_user;69;69;69;69;69;69;69;69
l10n_eu_oss;base.group_user;33;33;33;33;33;33;33;33
l10n_fi;base.group_user;135;135;135;135;135;135;135;135
l10n_fi_sale;base.group_user;33;33;33;33;33;33;33;33
l10n_fr;base.group_user;370,8;370,8;370,8;370,8;370,8;370,8;370,8;370,8
l10n_fr_account;base.group_user;1008;1008;1008;1008;1008;1008;1008;1008
l10n_fr_facturx_chorus_pro;base.group_user;0;0;0;0;0;0;0;0
l10n_fr_fec;base.group_user;0;0;0;0;0;0;0;0
l10n_fr_hr_holidays;base.group_user;0;0;0;0;0;0;0;0
l10n_fr_hr_work_entry_holidays;base.group_user;30;30;30;30;30;30;30;30
l10n_fr_invoice_addr;base.group_user;0;0;0;0;0;0;0;0
l10n_fr_pos_cert;base.group_user;6;6;6;6;6;6;6;6
l10n_ga;base.group_user;30;30;30;30;30;30;30;30
l10n_gcc_invoice;base.group_user;30;30;30;30;30;30;30;30
l10n_gcc_invoice_stock_account;base.group_user;33;33;33;33;33;33;33;33
l10n_gcc_pos;base.group_user;33;33;33;33;33;33;33;33
l10n_generic_coa;base.group_user;0;0;0;0;0;0;0;0
l10n_gn;base.group_user;30;30;30;30;30;30;30;30
l10n_gq;base.group_user;30;30;30;30;30;30;30;30
l10n_gr;base.group_user;432;432;432;432;432;432;432;432
l10n_gt;base.group_user;45;45;45;45;45;45;45;45
